Catégorie,tag,title,Description,Instructions
Intérieur,Créatif,Atelier de recyclage ,Projets d'art à partir de matériaux recyclés.,"Collectez des matériaux recyclables et proposez des idées de projets, comme des sculptures ou des collages."
Intérieur,Créatif,Séance photo thématique,Organisation d'une séance photo avec un thème choisi.,"Choisissez un thème, créez des déguisements ou des décors, et prenez des photos amusantes."
Intérieur,Éducation,Initiation à la musique,Découverte des instruments de musique et des bases de la musique.,"Présentez différents instruments, jouez des notes de base et encouragez les enfants à essayer."
Intérieur,Éducation,Jeux de société éducatifs,Sélection de jeux de société qui stimulent l'apprentissage.,"Choisissez des jeux qui enseignent des compétences comme la stratégie, les mathématiques, ou la lecture."
Intérieur,Éducation,Apprentissage de la carte de Genève,Découverte géographique et historique de Genève à travers sa carte.,"Utilisez une carte de Genève pour explorer ses quartiers, ses monuments, et son histoire."
Intérieur,Créatif,Création de cartes postales,Atelier pour créer des cartes postales personnalisées.,"Fournissez du papier, des crayons, et des timbres pour que les enfants puissent créer et envoyer des cartes postales."
Intérieur,Créatif,Atelier de peinture avec des bulles,Peindre en utilisant des bulles colorées.,Mélangez du colorant alimentaire ou de la peinture avec une solution à bulles et soufflez sur du papier pour créer des œuvres d'art.
Intérieur,Créatif,Écrire et illustrer une histoire,Les enfants créent leur propre livre en écrivant et illustrant une histoire.,"Encouragez les enfants à inventer une histoire, puis à dessiner des illustrations correspondantes sur du papier ou à l'aide d'un ordinateur."
Intérieur,Éducation,Fabrication d'instruments de musique,Création d'instruments de musique simples avec des matériaux de récupération.,"Utilisez des boîtes, des tubes, et d'autres objets recyclables pour fabriquer des instruments comme des tambours, des maracas, ou des flûtes."
Extérieur,Éducation,Parc La Grange,Découvrir la flore et la faune locales dans le plus grand parc de Genève,Utiliser une loupe pour observer les insectes et les plantes. Tenir un journal de vos découvertes.
Extérieur,Créatif,Baby Plage,Créer des sculptures et des œuvres d'art imaginatives à partir de sable,Instructions: Rassembler des matériaux naturels de la plage pour décorer vos créations de sable.
Extérieur,Créatif,Jardin Anglais,Chasse au trésor historique,Apprendre l'histoire de Genève grâce à une chasse au trésor amusante dans le Jardin Anglais. Suivre des indices pour trouver des monuments historiques et apprendre des faits intéressants.
Extérieur,Éducation,Parc des Eaux-Vives,Observation d'oiseaux,Identifier différentes espèces d'oiseaux et apprendre leurs habitudes. Utiliser des jumelles et un guide d'oiseaux pour repérer et identifier les oiseaux.
Extérieur,Créatif,Parc La Grange,Peinture à la craie ,Apporter de la craie. Choisir un endroit confortable et commencer à peindre.
Extérieur,Créatif,Plaine de Plainpalais,Fabrication et vol de cerf-volant,"Fabriquer votre propre cerf-volant et le faire voler dans l'espace ouvert de la Plaine de Plainpalais. Construire un cerf-volant avec des bâtons, du papier et de la corde. Trouver un espace ouvert pour faire voler votre cerf-volant."
Extérieur,Éducation,Parc Trembley,Safari d'insectes,"Partir en safari d'insectes pour observer et apprendre sur différents insectes. Attraper doucement des insectes avec un filet, les observer, et les relâcher."
Extérieur,Éducation,Île Rousseau,Étude de l'écosystème aquatique,"Apprendre sur l'écosystème aquatique et l'importance de sa préservation. Observer les créatures et les plantes aquatiques, discuter des moyens de protéger les plans d'eau."
Extérieur,Éducation,Musée d'histoire naturelle de Genève,Atelier de paléontologie,Participer à un atelier pour découvrir les dinosaures et fouiller comme un vrai paléontologue. Suivre les instructions du guide pour utiliser les outils de fouille sur un faux site archéologique.
Extérieur,Créatif,Cinéma Pathé Eaux-Vives,Séance cinéma enfant,Assister à une projection de film adapté aux enfants avec des animations spéciales. Choisir un film de la programmation enfant et participer aux activités proposées avant la séance.
Extérieur,Créatif,Grand Théâtre de Genève,Initiation à l'opéra pour enfants,Découverte de l'opéra à travers une représentation spécialement conçue pour les enfants. Assister à la représentation et participer à l'atelier de découverte qui suit.
Extérieur,Éducation,MAMCO (Musée d'art moderne et contemporain),Parcours ludique dans l'art contemporain,Explorer l'art contemporain à travers un parcours ludique et interactif conçu pour les enfants. Suivre le parcours proposé par le musée et participer aux activités interactives.
Extérieur,Éducation,Théâtre des Marionnettes de Genève,Spectacle de marionnettes,Découvrir le monde magique des marionnettes à travers un spectacle captivant. Choisir un spectacle adapté à l'âge de l'enfant et réserver les places à l'avance.
Extérieur,Créatif,Musée d'art et d'histoire de Genève,Chasse au trésor au musée,Participer à une chasse au trésor pour découvrir les œuvres d'art de manière ludique. Se rendre à l'accueil du musée pour recevoir le kit de la chasse au trésor et suivre les indices.
Extérieur,Créatif,CinéLac,Cinéma en plein air,"Visionner un film en famille au bord du lac lors des soirées d'été. Consulter le programme des projections, apporter des coussins ou des chaises pliantes pour plus de confort."
Extérieur,Éducation,Pitoëff Théâtre,Atelier de théâtre pour enfants,Explorer l'expression corporelle et la créativité à travers un atelier de théâtre. Inscrire l'enfant à l'atelier et participer à la présentation finale pour les parents.
Extérieur,Créatif,Fondation Martin Bodmer,Visite contée,Découvrir la littérature et l'histoire à travers des contes et récits passionnants. Réserver la visite contée adaptée aux enfants pour une immersion dans les histoires du passé.
